reviewerId,merge_id,tags,atmosphere_id
118294635012841739460,18389642022585186e3,vegan,21
2D007FE20BD55B1782A72F5DE84BB09B,205151259143415680,romantic,3
C4B1000AE0CC6F0E39BD9BE3CB232510,251004691745355900,friends,23
3AC56D55D9D4C2FFF3FC2FC501FCFAE9,251004691745355900,friends,23
BR14EDYLe3Qh8aqQ_pdnog,324956671056273800,vegan,21
116649939091138425665,377171090460949760,attentive,6
105753147654842875839,657437461245799700,tasting menu,26
189C1BF4675CB1FFE0B97147D633E219,697040578678019100,relaxed,2
146E6B90FEE3B7D88841738C4DF550AF,939792937791708200,relaxed,2
146E6B90FEE3B7D88841738C4DF550AF,939792937791708200,family,24
4F9BA50EB912E11905C1C4D467ADE048,1204451111739815e3,noisy,15
105417173648861745221,1543631498298606300,casual,1
114049519845471999787,1715798322244018200,vegan,21
891E39A19EEFFA54F38710BA54CA7511,1782072966437465e3,tasting menu,26
115491773198964683212,1812848607407385e3,family,24
45FE9D8CA212E7B2EBC4CD3495D54694,1830365493681069e3,friends,23
111430447484955221056,1875238971259665700,tasting menu,26
5B5F7D36A144FC7B29E56F01F4280EE7,1875238971259665700,tasting menu,26
5B5F7D36A144FC7B29E56F01F4280EE7,1875238971259665700,tasting menu,26
D67AC3EA6C5E18993EA1B2BA95CF5520,1976796404008395300,friends,23
108396141801445723021,2047455672320389600,tasting menu,26
108396141801445723021,2047455672320389600,tasting menu,26
108396141801445723021,2047455672320389600,tasting menu,26
2880C1E82744874ED159447996E6FFFB,2053835820869243400,party,27
107518714828846619083,2129187107677867500,family,24
107950860578306775442,2218121424849386e3,welcoming,11
108543306320348668558,2244860243997450500,tasting menu,26
103972351811646888886,2319185264202481700,attentive,6
87FFDA6A734863E53D11E1C3D288CB16,2415238445145904e3,original,8
115186775590112033882,2439455034259584500,family,24
3z_lfmfHSbkgmq2RRNeedQ,2439455034259584500,elegant,5
DF5AE526AC9572202AEC239C3D371588,2446582188412006e3,party,27
Pf7FI0OukC_CEcCz0ZxoUw,2481152489816717300,tasting menu,26
uf1UdKswKWOqFLUvRvvbzA,2481152489816717300,tasting menu,26
uf1UdKswKWOqFLUvRvvbzA,2481152489816717300,tasting menu,26
py2ShbZzNoWSdSxoSINz1g,2502357040961188400,tasting menu,26
104080145709145987197,2540258453199634400,vegan,21
104080145709145987197,2540258453199634400,vegan,21
75F1C324B99CA20CA72F4FF628099598,2617463841934012400,original,8
f0zeFRUWiKX5VV_OeWss7A,2645753624255778e3,attentive,6
yYGG4954ZVnHbDqy3E_6wA,2645753624255778e3,pricey,4
3252AC3EA3F5BD40F02EA5D541FF333C,2693526629884485e3,welcoming,11
106904486187305000925,2799953209314253300,attentive,6
7415FD5003146EAAD0DDBE0FAE614981,2807909795938915300,elegant,5
108041315476771189601,2858694498006908e3,romantic,3
